,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Lord Siva,Paris,1NgeW6kFhdqAvEKgKYhf1s,70,0.151,0.818,170645,0.533,6.66e-06,6,0.133,-6.05,0,0.0428,114.97,4,0.774
1,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,97,0.45,0.741,171030,0.52,1.97e-06,8,0.222,-7.513,1,0.0656,102.998,4,0.347
2,KESI,X,7iNiRaxUOvd4seviLprqeb,67,0.13,0.756,181691,0.596,0.0,0,0.216,-5.473,0,0.0359,102.005,4,0.683
3,Jonas Brothers,Sucker,4y3OI86AEP6PQoDE6olYhO,98,0.0427,0.842,181040,0.734,0.0,1,0.106,-5.065,0,0.0588,137.958,4,0.952
4,Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,98,0.0421,0.726,190440,0.554,0.0,5,0.106,-5.29,0,0.0917,169.999,4,0.335
5,KESI,Pengedans,0QLH3xeYZSRXy9YovfVEOI,65,0.156,0.742,177561,0.542,0.0,5,0.103,-7.084,0,0.151,97.971,4,0.427
6,ZK,La La,7AJflREyNWWfSOo1GOQxvj,65,0.0337,0.806,198853,0.649,0.0,7,0.13,-6.999,0,0.0619,113.014,4,0.367
7,Khalid,Talk,0rTV5WefWd1J3OwIheTzxM,95,0.0501,0.9,197487,0.4,0.0,0,0.0876,-8.443,1,0.124,136.001,4,0.338
8,Calvin Harris,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,94,0.016,0.807,229184,0.887,0.000503,1,0.0811,-4.311,0,0.0361,122.015,4,0.606
9,Billie Eilish,bury a friend,4NzMOnvSJVNKF7nw5NkXIP,96,0.74,0.905,193143,0.389,0.162,8,0.106,-14.505,1,0.332,120.046,4,0.196
10,Mabel,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,94,0.296,0.674,178480,0.881,3.01e-06,9,0.0793,-2.853,1,0.147,98.994,4,0.234
11,Gilli,Planer,3pM5vFRWDEvLtX31BC8FOd,64,0.291,0.715,159153,0.5,0.0,9,0.557,-6.373,0,0.147,105.026,4,0.546
12,Ariana Grande,7 rings,14msK75pk3pA33pzPVNtBF,97,0.578,0.725,178640,0.321,0.0,1,0.0884,-10.744,0,0.323,70.142,4,0.319
13,AMAL,NÅR DU DØR,4JP5xrNLDGEgPGaiGQ7yvV,63,0.44,0.717,165598,0.692,0.0,0,0.127,-3.839,0,0.115,116.87,4,0.712
14,Christopher,My Heart,1zVfFnkHv8ubJRXT30d4T3,73,0.335,0.733,196477,0.48,0.0,2,0.232,-5.828,1,0.0401,133.056,3,0.488
15,ATYPISK,Øje For Øje (feat. Branco),78wRDr5Di0vdYdBfITOYVb,63,0.122,0.699,159370,0.815,0.0,9,0.136,-5.208,0,0.367,97.914,4,0.595
16,Citybois,Sig Mig,2kDVTfMiMP8ignU2hU2yCB,63,0.177,0.703,194707,0.812,0.0,7,0.228,-4.744,1,0.245,92.037,4,0.626
17,Hans Philip,Dagdrøm [1],6pa0cDzwcgekEdoLqTXoTS,63,0.453,0.474,236386,0.656,0.0206,4,0.299,-6.658,0,0.0613,80.848,4,0.374
18,Chris Burton,Love Letters,2bmSoVE0rXEI6fGuy14QyA,69,0.0964,0.699,193411,0.679,0.0,2,0.166,-5.853,0,0.043,143.949,4,0.546
19,Clara,Crazy,2SLn2MQzKGwCJXFF6Gntg7,63,0.595,0.781,215713,0.535,0.0,6,0.0694,-7.403,0,0.248,144.875,4,0.483
20,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,96,0.149,0.837,213594,0.364,0.0,8,0.271,-11.713,1,0.276,123.984,4,0.463
21,Scarlet Pleasure,What A Life,60G0YTBb4gtAgb0ODAPNAn,63,0.799,0.716,185942,0.572,1.89e-06,9,0.0793,-5.095,0,0.0391,113.779,4,0.64
22,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,95,0.176,0.599,162583,0.733,0.0,11,0.242,-7.058,1,0.203,102.211,4,0.534
23,NODE,Diana,1Ohg3i1ZV1oQcRzDRYFd5p,61,0.0149,0.827,148652,0.573,0.0,11,0.157,-5.936,0,0.202,99.951,4,0.57
24,Carmon,Bando,6L6chwayZ6gfRACg5xpFww,61,0.204,0.832,168670,0.69,4.31e-06,3,0.126,-5.952,0,0.135,105.03,4,0.505
25,Bro,Døgnrytme,6I3ZRRax89Im1a5RueF5SY,61,0.12,0.705,175263,0.789,0.0,2,0.0809,-4.073,1,0.0616,97.006,4,0.637
26,Hans Philip,Siger Ingenting,1ASfDW1PgHJ9g97T7B1a4J,61,0.463,0.492,224000,0.253,3.94e-05,5,0.146,-12.679,1,0.0385,115.144,4,0.186
27,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,91,0.308,0.708,194088,0.418,0.093,0,0.1,-10.998,1,0.368,131.926,4,0.578
28,Hans Philip,Saa Blaa,2zAfQdoOeYujy7QIgDUq9p,61,0.764,0.805,303621,0.462,6.81e-06,1,0.366,-10.94,0,0.357,116.036,4,0.387
29,Ava Max,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,87,0.0754,0.684,184296,0.677,0.0,6,0.133,-4.034,1,0.0464,130.141,4,0.595
30,Khalid,My Bad,1DUSuNhF8P5vUGNPpQiZa5,91,0.543,0.645,166101,0.568,0.266,5,0.257,-9.127,0,0.0823,84.999,4,0.391
31,Billie Eilish,wish you were gay,4txc3txsIt81diMzGhrVPS,92,0.39,0.853,221543,0.351,9.38e-06,7,0.752,-10.198,1,0.241,118.028,4,0.282
32,Mustard,Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,92,0.172,0.68,194520,0.559,0.0,0,0.318,-5.545,1,0.129,202.006,4,0.137
33,Alexander Oscar,Complicated,43XVQnmthLUV5acNBzGzJ1,70,0.0766,0.714,186797,0.687,4.35e-05,1,0.0725,-3.641,0,0.0374,99.962,4,0.539
34,Hans Philip,Drenge & Piger,6OXT1Ga5d7YyQaEXK7JCpN,60,0.856,0.705,157274,0.339,0.000103,7,0.119,-8.274,1,0.0504,76.331,3,0.629
35,The Chainsmokers,Who Do You Love (with 5 Seconds of Summer),11cDEev79fPKi6uJCjUhu8,92,0.00791,0.51,226747,0.835,0.0,3,0.219,-4.673,1,0.0447,140.024,4,0.435
36,ATYPISK,Aldrig For Sjov (feat. Branco & Gilli),1Td1VKv9mzF6zjFBe8TLgC,60,0.169,0.669,208216,0.715,0.0,1,0.106,-6.57,1,0.105,180.122,3,0.779
37,Fouli,Million,3bsjdAwV1wjPM0abu8Lutl,60,0.0656,0.779,171247,0.665,0.0,10,0.0802,-6.077,0,0.175,139.902,4,0.511
38,Benny Jamz,Savannah (feat. Sivas),3K606WrIlKm3YEetpoZIpj,60,0.0313,0.784,171071,0.626,0.0,7,0.212,-5.597,0,0.0681,91.993,4,0.319
39,Skinz,SPOTLIGHT,1RnlohkyhQQWiSxA8e4aHY,60,0.0296,0.771,185497,0.654,0.0,8,0.163,-6.617,0,0.0374,140.108,4,0.878
40,ICEKIID,Stamina,7o2hcKl6W9lJeYdq7rBgtB,61,0.00631,0.808,163604,0.704,0.000279,8,0.0938,-3.497,1,0.0403,114.009,4,0.196
41,benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,93,0.404,0.541,158027,0.468,3.65e-06,10,0.358,-4.039,0,0.362,95.266,4,0.69
42,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,100,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
43,Omar,Ligemeget,6xWOpzURtPgFqFeGTu7uqC,59,0.24,0.832,148133,0.647,0.0,0,0.106,-6.816,0,0.0746,119.972,4,0.854
44,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,90,0.328,0.685,240051,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578
45,Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,93,0.0642,0.747,200890,0.57,0.0,1,0.0832,-6.711,1,0.081,133.992,4,0.65
46,Billie Eilish,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,86,0.316,0.741,168840,0.447,0.121,8,0.187,-9.015,0,0.388,184.98,4,0.551
47,Marshmello,Here With Me,5icOoE6VgqFKohjWWNp0Ac,92,0.0623,0.791,156347,0.565,0.0,5,0.156,-3.933,0,0.0439,99.961,4,0.181
48,Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,94,0.229,0.717,207320,0.653,0.0,1,0.101,-5.634,1,0.0658,106.966,4,0.412
49,Hjalmer,Folk Som Os,6xJPEJfevLa5A8qo2aPxTX,58,0.579,0.426,198538,0.49,0.0,6,0.13,-9.856,1,0.0949,97.284,4,0.286
