,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Sabaton,The Final Solution,27RXFUpJOYrCBGWVIpDgRC,47,0.012,0.491,296773,0.965,0.0002,9,0.0955,-3.378,0,0.0678,93.075,4,0.541
1,Sabaton,Inmate 4859,5zBKxOKQ9kEJVZIBCQWR0L,41,0.000522,0.376,266387,0.797,3.95e-05,11,0.106,-4.476,0,0.0452,164.114,4,0.516
2,Linkin Park,What I've Done,18lR4BzEs7e3qzc0KVkTpU,78,0.0141,0.623,205613,0.93,1.64e-06,5,0.138,-5.285,1,0.0324,120.119,4,0.287
3,Maverick,Lost On You - Soft Version,0i6zwgqZiAqNcKNKKXfEUR,53,0.528,0.556,274231,0.312,6.07e-05,11,0.081,-9.315,0,0.0292,155.826,4,0.134
4,Guns N' Roses,Out Ta Get Me,0OgjX682GaRCIdbqerNL6g,56,0.034,0.404,260093,0.964,0.251,11,0.356,-8.033,1,0.0798,140.564,4,0.38
5,Alter Bridge,Cry of Achilles,6njG9CbhFC2FrCEVroE0ma,51,0.000139,0.311,390867,0.983,0.000252,6,0.483,-4.042,1,0.177,139.921,4,0.213
6,Rise Against,House On Fire,4c75xeSteTcgSSxRtsKqOJ,60,0.00155,0.427,194507,0.95,0.0,11,0.459,-2.187,1,0.0886,169.006,4,0.592
7,Deftones,Digital Bath,2jSJm3Gv6GLxduWLenmjKS,61,0.00122,0.338,255373,0.859,0.211,4,0.0936,-4.938,0,0.0824,92.966,4,0.504
8,Nothing More,Fade In / Fade Out,2FlbiceZnWgzPoUGCviLHT,59,0.00879,0.411,364907,0.805,2.58e-05,4,0.0819,-5.246,0,0.0418,83.479,4,0.238
9,Electric Guitars,Headless Chicken,6WSXuuprcPtIdf7x5O9RrR,28,4.49e-05,0.2,227566,0.854,0.0,9,0.148,-3.029,0,0.0607,152.142,4,0.323
10,Powerwolf,Amen & Attack,1wZiSyGuouc9hdUcLEckPj,48,4.69e-05,0.528,234693,0.936,4.9e-05,1,0.37,-4.501,0,0.031,97.973,4,0.49
11,Bad Wolves,No Masters,2MhppPQbaj2EqJUjIWZurg,58,4.05e-05,0.495,233095,0.949,0.00167,5,0.328,-4.797,0,0.054,95.959,4,0.501
12,Trivium,Endless Night,7yi6fynaCi2lWhjcOfcHz5,55,0.00424,0.409,218400,0.923,0.0,4,0.268,-3.665,1,0.0753,157.892,4,0.422
13,In Flames,Burn,6L8AI7WvUXwGbKrWNfY9Vj,54,4.8e-05,0.522,223720,0.971,0.0534,6,0.054,-4.59,1,0.109,114.992,4,0.195
14,Brothers of Metal,Defenders of Valhalla,37oLbcJ5oouA1PJJsKOjub,49,0.000112,0.267,248812,0.88,0.543,10,0.34,-5.73,0,0.0609,139.995,4,0.141
15,Lifehouse,Hanging By A Moment,6jWLyg8AuMQ9LtIB2UlfOF,62,0.000966,0.537,216360,0.858,0.0,1,0.0812,-4.903,1,0.0349,124.599,4,0.502
16,Three Days Grace,Nothing To Lose But You,44C6wc0keSwxyQkQI7N7SU,55,8.37e-05,0.585,172280,0.811,0.0,6,0.137,-5.116,0,0.033,134.084,4,0.647
17,Bersærk,År nul,6ljISoGMwhDJb58zOLx8qP,18,0.000183,0.317,247086,0.938,0.000195,4,0.376,-6.061,0,0.128,167.856,3,0.253
18,Bersærk,De Glemte,4UqjSeigUIBZ84oMCu8mSd,24,0.00328,0.333,333000,0.733,0.00557,5,0.145,-5.852,1,0.0629,113.473,4,0.127
19,Within Temptation,And We Run (feat. Xzibit),1mMTrYle62J5peGGsVbdm6,50,0.0596,0.544,230067,0.837,0.0,6,0.0698,-4.618,0,0.0465,128.98,4,0.159
20,Metallica,Disposable Heroes - Remastered,6DKt7DVgBWadoaltUYlPz8,53,4.85e-05,0.334,496627,0.929,0.416,6,0.09,-7.572,0,0.0961,89.972,4,0.404
21,Nickelback,Something in Your Mouth,6wO0vMRAJB0r1lEWBJZNOq,63,0.00137,0.663,219253,0.977,1.77e-05,0,0.173,-3.024,1,0.0575,129.975,4,0.746
22,Thousand Foot Krutch,Untraveled Road,1aWjI4G6iWPgJx9UOFUqGt,56,0.000324,0.587,235689,0.869,2.05e-06,11,0.068,-5.918,1,0.042,125.023,4,0.441
23,Volbeat,Soulweeper,157370LZyYHaEvsPAdZeej,41,5.44e-06,0.376,219987,0.922,0.145,0,0.215,-5.234,0,0.055,130.195,4,0.398
24,Bullet For My Valentine,Your Betrayal,25GC50HslaaruyrKjdu0lP,68,8.07e-05,0.569,291427,0.883,7.74e-05,2,0.0883,-4.41,0,0.0747,134.003,4,0.373
