,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Nicki Minaj,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",4Uy3kNxW2kB8AEoXljEcth,80,0.0166,0.766,174893,0.881,2.3e-06,9,0.347,-5.158,0,0.137,112.027,5,0.674
1,The Minds Of 99,Hurtige Hænder - Live,4oPQOsRAOho5ep9V6L3M6e,39,0.139,0.297,266067,0.542,0.0,9,0.985,-10.878,0,0.0397,129.293,4,0.296
2,Ariana Grande,sweetener,70khXICDeTTxgYtw3EysKH,78,0.248,0.721,208493,0.459,0.0,4,0.212,-6.408,1,0.032,119.914,4,0.46
3,Ella Mai,Whatchamacallit (feat. Chris Brown),1YLfaRr3QIW1fF3nvDO0gX,76,0.17,0.656,179411,0.616,0.0,5,0.219,-4.668,1,0.0392,98.871,4,0.269
4,BTS,Trivia 起 : Just Dance,0usLRFLmYXYahKNgXxsuJc,71,0.0907,0.723,225221,0.906,0.0,1,0.0771,-4.778,0,0.279,125.019,4,0.398
5,Charlie Puth,Change (feat. James Taylor),17RMnDmv5CEo3s0tmipRyb,66,0.872,0.502,217560,0.413,0.0,4,0.213,-7.373,1,0.039,175.507,4,0.474
6,Nipsey Hussle,Double Up (feat. Belly and Dom Kennedy),4iVD0fTHGxV9JWloujsL3s,78,0.0544,0.604,361280,0.436,0.000242,2,0.162,-8.32,1,0.188,107.978,4,0.239
7,SHAED,Trampoline,0lsRatBUs9HNIZAmoGABzk,79,0.488,0.689,184060,0.412,0.00016,7,0.0659,-7.523,0,0.0301,126.754,4,0.537
8,Joey Moe,Perfekt Som Du Er,5APNpwzlrZ5tqesJeuMpgd,36,0.0581,0.78,183591,0.556,0.0,9,0.181,-6.63,0,0.0693,160.035,4,0.797
9,Gavin Luke,Gone,331iLszrgVOeYNl2KKn12j,69,0.954,0.183,179166,0.0611,0.908,11,0.109,-25.535,0,0.0342,93.361,3,0.0389
10,Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,93,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,4,0.446
11,Olivia O'Brien,RIP (feat. G-Eazy & Drew Love),3qjf2YP8G2RNFanYZDcZUk,73,0.422,0.728,200773,0.646,0.0,5,0.0899,-4.387,0,0.0463,103.983,4,0.46
