,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Frédéric Chopin,"Waltz No. 7 in C-Sharp Minor, Op. 64, No. 2",4WjvJ6Ok5CLXokNX4YHbSS,50,0.994,0.305,218093,0.0272,0.771,1,0.115,-31.167,0,0.042,79.243,3,0.151
1,Rhapsody Of Fire,March Against the Tyrant,2xCPy6z5qUIwHMHyRBRVSx,48,0.00438,0.434,562693,0.884,0.000676,7,0.27,-6.342,1,0.0687,89.967,4,0.216
2,Johann Sebastian Bach,"Orchestral Suite No. 4 in D Major, BWV 1069: II. Bourrée I - III. Bourrée II",1PY3j1faZLsURvoTXZ5rSw,6,0.927,0.614,197693,0.197,0.81,11,0.139,-19.924,0,0.0346,81.294,4,0.759
3,Frédéric Chopin,"Nocturnes, Op. 9: II. Andante in E-Flat Major",0uwQ5v4To5HC2zhYTu2Qvb,8,0.989,0.409,339583,0.034,0.926,10,0.0868,-29.061,1,0.0571,81.051,4,0.0521
4,Johann Sebastian Bach,"Markus Passion, BWV 247: Recitativo (Evangelista) ""Und es war um die dritte Stunde"" (aus BWV 244)",2dW6B6Xlus66GLbHW6KCtp,25,0.981,0.504,55040,0.0816,0.0,3,0.14,-21.466,0,0.0806,74.789,1,0.23
5,Franz Liszt,"Christmas Tree, S. 186: V. Lighting the Candles on the Tree",3Lz9QNhQ2GG7IMh8CoppKq,7,0.994,0.409,129707,0.172,0.922,5,0.0765,-24.453,1,0.0436,108.787,3,0.259
6,Christian Jost,"Dichterliebe: 3. Die Rose, die Lilie, die Taube",2jEI8jIgyGKdPeWPEHUXE3,0,0.955,0.439,51453,0.278,0.177,11,0.212,-16.853,0,0.0592,83.567,4,0.581
7,Edvard Grieg,"Lyric Pieces, Op. 71: III. Puck",6sb0hYJnKeWRf7xCvNHPni,12,0.994,0.411,116493,0.186,0.923,8,0.0996,-20.827,0,0.06,164.433,4,0.0565
8,Claude Debussy,"Le martyre de saint Sébastien, Fragments symphoniques, L. 124: No. 1, La cour de lys",0NRgB8PqxCblIH7B7WfDBO,42,0.989,0.143,230893,0.00645,0.965,8,0.09,-33.494,0,0.0411,139.99,5,0.0321
9,Ludwig van Beethoven,"Quintet for Piano and Winds in E-Flat Major, Op. 16: I. Grave - Allegro ma non troppo",5RcdzzKzAdFpZNx6doV3Zl,15,0.992,0.379,739893,0.0705,0.889,10,0.0909,-21.701,1,0.0344,81.318,4,0.285
10,Edvard Grieg,"Symphonic Dances, Op. 64: IV. Andante - Allegro molto e risoluto",3j2IapQOAUvlnrceL824qN,5,0.857,0.136,749133,0.0642,0.745,9,0.0766,-20.065,1,0.0356,70.64,4,0.113
11,Frédéric Chopin,"24 Preludes, Op. 28: No. 19 in E-Flat Major",2A0aitG5unTLvte4a6EW17,29,0.974,0.234,120667,0.232,0.819,3,0.21,-18.496,1,0.0479,60.742,3,0.402
12,Johann Sebastian Bach,"Partita No. 6 in E Minor, BWV 830: I. Toccata (Live)",64zS1Hilpu2NY9nGxvU51t,1,0.995,0.319,427409,0.157,0.904,4,0.102,-22.265,0,0.042,138.651,4,0.193
13,Johann Sebastian Bach,"Violin Sonata No. 3 in C Major, BWV 1005: II. Fuga",6mBXqjok4WXxIaamndWBxe,3,0.993,0.316,588827,0.198,0.00976,0,0.285,-13.415,1,0.043,167.828,3,0.653
14,Edvard Grieg,"Haugtussa, Op. 67 ""The Mountain Maid"": III. Blueberry Slope",7ci0RtxaiDgQUzsbf7BoQe,6,0.98,0.438,175000,0.0244,0.0,5,0.0685,-20.139,1,0.0797,80.765,4,0.391
15,Steve Vai,Bad Horsie,2W5EvgsEBmBWqZz4GumrXA,46,0.000276,0.543,350840,0.771,0.776,5,0.804,-8.855,1,0.0457,127.038,4,0.638
16,Johann Sebastian Bach,"The Well-Tempered Clavier, Book 1: Prelude No. 5 in D Major, BWV 850/1",0Y4KW2hl2WX2veirxN5k7x,29,0.897,0.223,96417,0.384,0.0224,1,0.0733,-21.25,1,0.0344,103.621,4,0.894
17,Luigi Boccherini,"String Quintet No. 5 in E Major, Op. 11: III. Minuet",1VACsNJQL3FljpAFIob7qF,0,0.988,0.423,230133,0.0551,0.789,9,0.169,-21.437,1,0.0392,177.339,4,0.66
18,Wolfgang Amadeus Mozart,"Mozart: Die Zauberflöte, K. 620, Act 2: ""Der Hölle Rache kocht in meinem Herzen"" (Queen of Night)",6wpf6E6YfqkRZ3KByORNSr,21,0.961,0.534,171347,0.202,6.91e-05,5,0.149,-15.721,1,0.0643,74.42,4,0.16
